speech_id,chamber_x,date,number_within_file,speaker,first_name,last_name,state_x,gender_x,line_start,line_end,file,char_count,word_count,speakerid,lastname,firstname,chamber_y,state_y,gender_y,party,district,nonvoting,doc,doc_clean,session,dataset,Rep,Dem
610069922,H,19090715,449,Mr. SMITH of Iowa,Unknown,SMITH,Iowa,M,7339,7366,07151909.txt,1587,108,61069790,SMITH,WALTER,H,IA,M,R,9.0,voting,Mr. Chairman. it is not my purpose to discuss the legality of this proposition. It was my privilege to discuss whether to pay traveling expenses was increasing the emoluments of the President when the act of 1906 was passed. and in arguing that question then I saw fit to cite authorities from learned courts and not to depend upon my own legal opinion for the vindication of the proposition that it was lawful to appropriate money for the traveling expenses of the President of the United States. I do want to briefly answer this charge of bad faith. The legislative bill carried the usual appropriation of $50.000. The sundry civil bill as reported carried the appropriation for traveling expenses. but before the sundry civil bill was considered in this Chamber the Senate had amended the legislative bill so as to give the President $100.000 in .payment for his salary and his traveling expenses. In view of the pendency of that proposition. we in the House struck out from the sundry civil bill the proposed appropriation for traveling expenses. When that proposition came up to increase the salary of the President. I voted against it at all times. I was not ih favor of raising the salary of the President. but I have always been in favor of paying his traveling expenses. in order that he might go to all parts of the country and be in closer touch with the people. Now. let us see whether anybody got deceived on the other side of the House on the occasion of the passing of the legislative bill through the House on the 3d day of last March. I read from the RECORD of that day:\n',purpose discuss legality proposition privilege discuss pay traveling_expense increase emolument act pass argue question see_fit cite authority learn court depend own legal opinion vindication proposition lawful appropriate money travel expense want answer charge bad faith legislative bill carry usual appropriation sundry_civil bill report carry appropriation travel expense sundry_civil bill consider amend legislative bill give salary travel expense view pendency proposition strike sundry_civil bill propose appropriation travel expense proposition come increase salary vote time ih favor raise salary favor pay travel expense order go part country close touch people let see get deceive other side occasion passing legislative bill 3d day last read record,61.0,bound,1,0
1020078672,S,19910912,771,Mr. HELMS,Unknown,HELMS,Unknown,M,33658,33707,09121991.txt,1698,111,102111891,HELMS,JESSE,S,NC,M,R,,voting,"Mr. President. I do not question the -statistics. I think they are correct as given by Senator MoyNIHAN. The point is that the present policy of this Government is to encourage young people to think that sex before marriage is OK just so long as it is ""safe sex."" However. the Federal Government has one. just one. small programtitle XXthat promotes delaying sex until marriage and it Is that one small program. which is not funded in the underlying bill. . Mr. President. for those Senators. if any. who may think that the sex surveys which we discussed in detail earlier are not all that bad. I am going tc send down to the Republican desk several copies of some of the questions. ] ask that they he available for Senators on both sides of the aisle to read what the American taxpayers are being re. quired to hinance over the will and judgment of Secretary Sullivan. I am not going to read any of the questions because I do not want to be responsible for putting such language in the CONrnESSiONAL REcoRD. But I say again. any Senator who strongly supports these studies should be willing to at least take a look at what we are talking about so that the public can see what they are being required to pay for. The bottomline is that under the present system we are encouraging teenagers. whether we intend it or not. to engage in sex just so long as it is ""safe sex."" On the other hand. the only Federal program the only activity in the Federal Government. that pleads with young people to abstain from sexual activity until they are married is title XXand the pending bill does not fund it. I think the Federal Government ought to fund title XX and that Is the purpose of the pending amendment.\n'",question -statistic think correct give point present policy encourage young people think sex marriage safe sex small programtitle promote delay sex marriage small program fund underlying bill senator think sex survey discuss detail bad go send republican desk several copy question ask available senator side_aisle read american taxpayer re_quire hinance will judgment go read question want responsible put such language conrnessional record say support study willing least take look talk public see require pay bottomline present system encourage teenager intend engage sex safe sex other hand only federal program only activity plead young people abstain_sexual activity marry title pende bill fund think fund title_xx purpose pende amendment.\n,102.0,daily,1,0
620176926,H,19120527,1178,Mr. ROBERTS of Massachusetts,Unknown,ROBERTS,Massachusetts,M,10254,10268,05271912.txt,828,50,62072370,ROBERTS,ERNEST,H,MA,M,R,7.0,voting,Mr. Chairman. I want to call the attention of the gentleman from Washington to the full scope of the limitation that he has offered to the amendment to this paragraph. This paragraph provides for the fuel to be used by the Marine Corps. not only within the territorial limits of the United States. .)ut wherever there nmay be marines using fuel. We have marines in the Philippines and in Samoa. and I do not know in how emany different parts of the world marines are stationed. and permanently stationed. Now. if the limitation of the gentleman is adopted it will compel the Navy Department to send American coal in very small quantities to these remote parrs of the world. and I suggest to the gentleman that he make his limitation apply only to coal used by the Marine Corps within the territorial limits of the United States.\n',want call attention gentleman full scope limitation offer amendment paragraph paragraph provide fuel use territorial limit nmay marine use fuel marine know emany different part world marine station station limitation gentleman adopt compel send american coal small quantity remote parr world suggest gentleman make limitation apply coal use territorial limit,62.0,bound,1,0
1080048640,S,20030605,715,Mr. SMITH,Unknown,SMITH,Unknown,M,30530,30562,06052003.txt,1094,86,108113851,SMITH,GORDON,S,OR,M,R,,voting,Mr. President. I. rise today to speak about the need for hate crimes legislation. On May 1. 2003. Senator KENNEDY and I introduced the Local Law Enforcement Act. a bill that would add new categories to current hate crimes law. sending a signal that violence of any kind is unacceptable in our society. I would like to describe a terrible crime that occurred on March 21. 2003. In Burbank. IL. an explosion caused by a powerful fireworkstype device damaged the 1989 Ford Econoline van of a Palestinian Muslim family and shook doors and windows of neighboring homes. The blast shattered the vehicles windows and blew open the vehicles door. The man who committed the crime is being held on bond and is being charged with arson. criminal property damage. and committing a hate crime. I believe that governments first duty is to defend its citizens. to defend them against the harms that come out of hate. The Local Law Enforcement En4 hancement Act is a symbol that cati become substance. I believe that by passing this legislation and changing current law. we can change hearts and minds as well.\n',rise today speak need hate_crime legislation introduce bill add new category current hate_crime law send signal violence kind unacceptable society like describe terrible crime occur explosion cause powerful fireworkstype device damage palestinian muslim family shake door window neighboring home blast shatter vehicle window blow open vehicle door man commit crime hold bond charge arson criminal property damage commit hate_crime believe government first duty defend citizen defend harm come hate hancement_symbol become substance believe pass legislation change current law change heart mind well.\n,108.0,daily,1,0
990130559,H,19851203,55,Mr. QUILLEN,Unknown,QUILLEN,Unknown,M,3114,3182,12031985.txt,2369,177,99111480,QUILLEN,JAMES,H,TN,M,R,1.0,voting,Mr. Speaker. the rule has been described accurately by the gentleman from South Carolina . House passage of this rule and of the bill already approved by the other body will send the measure to the President. And I would respectfully request of the President that he allow this bill to become law. Members should be aware that a number of changes to the Housepassed. bill were made in the other body. Th most important addition is relief for the domestic footwear industry. The bill now provides footwear imports with a 60percent share of the American market. while reserving 40 percent to our American industry. This is reasonable and justified to save an important American industry that is fighting for its life. In regard to the main part of the bill. the textile and apparel import quotas. import penetration is granted up to about 42 percent of the domestic market. with 58 percent reserved for our American manufacturers. This is certainly generous to our foreign competitors while at the same time allowing our own American textile and apparel industry to survive. Mr. Speaker. despite everything that has been said against this bill. a review of its provisions will show it to be a fair and reasonable bill which gives a generous share of our domestic market to our foreign competitors. The bill is a lifeline to our own textile and apparel industry which is going under. in my judgment. unless we enact this bill into law. We have seen a 65 percent surge in imports in the past 2 years. and 300.000 jobs have been lost since 1979. Imports now comprise 50 percent of the American clothing market. Enough is enough. I ask my colleagues to lend a helping hand to an industry employing almost 2 million workers that has reinvested its capital and has made every effort to modernize its equipment and its business practices. I ask you to vote for this rule and for this billto vote for America. And Mr. President. I ask you to allow this reasonable and fair bill to become law. I ask you. Mr. President. not to forget our own people. not to sacrifice them on the altar of a trade policy that is more theory than reality. A national trade policy that turns a blind eye to the destruction of great American industries is not my idea of an intelligent policy. and I hope it is not yours. Mr. President. Lets think of America first. Mr. President. dont veto this bill.\n',rule describe gentleman passage rule bill approve other body send measure request allow bill become law member aware number change make other body important addition relief domestic footwear industry bill provide footwear import 60percent share american market reserve percent american industry reasonable justify save important american industry fight life regard main part bill textile_apparel import quota import_penetration grant percent domestic market percent reserve american manufacturer generous foreign competitor same time allow own american textile_apparel industry survive say bill review provision show fair reasonable bill give generous share domestic market foreign competitor bill lifeline own textile_apparel industry go judgment enact bill law see percent surge import past year job lose import comprise percent american clothing market enough enough ask colleague lend help hand industry employ worker reinveste capital make effort modernize equipment business practice ask vote rule billto vote ask allow reasonable fair bill become law ask forget own people sacrifice_altar trade policy more theory reality national trade policy turn blind_eye destruction great american industry idea intelligent policy hope think veto bill.\n,99.0,daily,1,0
940037234,H,19750409,449,Mr. RAILSBACK,Unknown,RAILSBACK,Unknown,M,20443,20504,04091975.txt,2191,143,94106360,RAILSBACK,THOMAS,H,IL,M,R,19.0,voting,Mr. Speaker. I am today introducing legislation which provides for a $100 million emergency loan to the Rock Island Railroad so that it may maintain its essential services to the Midwest. In the absence of a loan from the USRA. the Rock Island has been forced to declare bankruptcy and may now be forced to embargo on May 15. If an embargo is indeed declared. the ICC will issue a service order which will cost the taxpayer in the neighborhood of $60 million over an 8month period. Unfortunately. the funds issued under such an order would be used only to prevent the disruption of service and would not provide money to rebuild the many miles of track which are in a dangerous state of disrepair. The failue of a service order to provide for reconstruction only increases the possibility of further disrupted service and injury or death to the employees of the railroad. The job security of the Rock Island employees must be given top consideration. I have received countless letters. telegrams. and phone calls from employees who are consumed by the fear of losing their jobs. If the Rock Island discontinues operations and its services are divided among existing carriers. the services of the vast majority of its employees would be terminated. In my district alone. the Rock Island employs approximately 1.500 workers. They and their families are faced with the devastating reality of losing their jobs at a time when jobs are hard to come by. It is also important to note that at a time when the President and Congress have encouraged our farmers to produce at full capacity. farmers and other agriculturerelated businesses dependent on the railroad may face serious difficulties in transporting their products. Although many Rock Island mainlines duplicate those of other railroads. the Rock Island is the only railroad which serves hundreds of communities and stations in the Midwest. According to the ICC. for example. 733 grain elevators are served exclusively by the Rock Island. It is my hope that the committee charged with considering this legislation will recognize the serious ramifications of inaction and work promptly to insure the continuation of the Rock Island Railroad.\n',today introduce legislation provide emergency loan maintain essential service absence loan force declare bankruptcy force embargo embargo declare issue service order cost taxpayer neighborhood 8month_period fund issue order use prevent disruption service provide money rebuild many mile track dangerous state disrepair failue service order provide reconstruction increase possibility disrupt service injury death employee railroad job security employee give top consideration receive countless letter telegram phone call employee consume fear lose job discontinue operation service divide exist carrier service vast_majority employee terminate district employ worker family face devastating reality lose job time job hard come important note time encourage farmer produce full capacity farmer other agriculturerelated business dependent railroad face serious difficulty transport product many mainline duplicate other railroad only railroad serve hundred community station accord example grain_elevator serve hope committee charge consider legislation recognize serious ramification inaction work insure continuation,94.0,bound,1,0
620327866,H,19130226,1924,Mr. HOBSON,Unknown,HOBSON,Unknown,M,20873,20896,02261913.txt,1484,102,62070610,HOBSON,RICHMOND,H,AL,M,D,6.0,voting,Mr. Chairman. we are keeping many of the old battleships on the battle line. because we have to have tactical units and are lacking in number of newer ships. these older ships are of lower speed than the newer battleships and really retard the new battle fleet and impair its effectiveness. these ships ought to be in the reserve. They are exceedingly expensive to maintain in comparison to their power. By the addition of new ships. two. for instance. this year. it will enable us toput four of our older battleships out of commission and put them in reserve. It is a simple question of efficiency. of the integrity of the existing Navy in making effective the Navy that we now have. Now. to make a specific comparison. Just for illustration. Japan is building four battle cruisers and one Drcadnought. indicating that her plan is to have in the future a fleet of greater speed than our fleet by four. five. or six knots. That would enable her. if she has a weapon that can fire at long range. and this indicates that she has a shell that would not be required to penetrate the armor after it strikes. a shell using explosives in large weights. then she could practically stay out where the lighter armor of her ships would be as much a defense against our fire as the heavier armor of our ships against their fire. Then. they would have the additional speed to enable them to take their location at the front and cap our fleet. and we would be placed at a very serious disadvantage.\n',keep many old battleship battle line tactical unit lack number new ship old ship low speed new battleship retard new battle fleet impair effectiveness ship reserve expensive maintain comparison power addition new ship instance year enable toput old battleship commission put reserve simple question efficiency integrity exist make effective make specific comparison illustration build battle_cruiser indicate plan future fleet great speed fleet knot enable weapon fire long range indicate shell require penetrate_armor strike shell use explosive large weight stay light armor ship much defense fire heavy armor ship fire additional speed enable take location front cap fleet place serious disadvantage.\n,62.0,bound,0,1
990167584,H,19860320,788,Mr.. BOULTER,Unknown,BOULTER,Unknown,M,47939,48009,03201986.txt,2003,126,99107650,BOULTER,ELDON,H,TX,M,R,13.0,voting,Mr. Speaker. I rise in support of the motion to concur with the Senate amendments on reconciliation. There are a lot of reasons for my support. but there is one in particular that I want to bring to the attention of my colleagues. In a time when we are attempting to reign in out of control Federal spending and get our fiscal house out of the red. -ve have a provision in the House package that would increase the size of the welfare state. bringing more people onto the welfare rolls. rather than trying to reduce those numbers. This change would cost 25 States a total of $187.4 million each yearand would cost the State of Texas alone $23 million. The provision would mandate that as of January 1. 1988. States would have to provide AFDC benefits to twoparent families with dependent children in which the principal wageearner in unemployed. Participation in the two parent AFDC Program has historically been an option for States. Many. including Texas. opted out of participation. Now we are saying. in the House passed versionthat States must participate. Texas must. the law says. now spend as much as $23 million on a program it has chosen notto be partof. This. Mr. Speaker. is not the kind of quality control on welfare that the American people want. In fact. it is just the opposite. The Senate amendments delete this unnecessary provision. returning the AFDC Program to its original state. The Senate amendments leave States rights and State decisions where they belongin the State. We must remember that we are tryingthe American people are demanding that we dowe are trying to reduce this Nations deficit. This does not mean that we can shift burdens onto our State and local governments. This does not mean that we should be increasing the scope of our welfare system. We must remember. Mr. Speaker. that we are trying to be fiscally. and socially. responsible. The Senate amendments do a far better job of meeting those goals. and I encourage my colleagues to support the Senate version.\n',rise support motion concur amendment reconciliation lot reason support particular want bring attention colleague time attempt reign control federal spending get fiscal house red -ve provision package increase size welfare state bring more people welfare roll try reduce number change cost state total yearand cost provision mandate state provide benefit twoparent_family dependent child principal wageearner unemployed participation parent option many include opt participation say pass participate law say spend much program choose partof kind quality control welfare american people want fact opposite amendment delete unnecessary provision return original state amendment leave right state decision belongin remember american people demand dowe try reduce deficit mean shift burden state local government mean increase scope welfare system remember try responsible amendment well job meet goal encourage colleague support,99.0,daily,1,0
950142062,S,19770915,601,Mr. KENNEDY,Unknown,KENNEDY,Unknown,M,17319,17349,09151977.txt,1099,57,95114941,KENNEDY,EDWARD,S,MA,M,D,,voting,Mr. President. I was extremely pleased to learn of the support of the House of Representatives. the Attorney General. and the Consumers Council of the Commonwealth of Massachusetts. for legislation -to create a Consumer Protection Agency. For over 8 years I have supportedand fought forlegislation to give consumers voices greater prominence in agency decisonmaking. Special interests have their advocates and agencies in Washington: consumers should -too. The Consumer Protection Agency would not only provide vigorous advocacy for consumers. it would also serve an ombudsman function in handling consumer complaints -and would collect. analyze. and disseminate information to assist consumers in making enlightened choices in the marketplace. Establishment of this agency is long overdue. and it is my hope that S. 1262 will be enacted during this Congress. Mr. President. I ask unanimous consent that the following resolutions. the first adopted by the Massachusetts House of Representatives and the second adopted by the Commonwealth of Massachusetts Consumers Council. be printed in the RECORD.\n',pleased learn support legislation create year supportedand fight forlegislation give consumer voice great prominence agency decisonmake special interest advocate agency consumer provide vigorous advocacy consumer serve ombudsman function handle consumer complaint collect analyze_disseminate information assist consumer make enlightened choice marketplace establishment agency overdue hope enact ask_unanimous consent follow resolution first adopt second adopt print_record.\n,95.0,bound,0,1
870296435,S,19621003,930,Mr. KEFAUVER,Unknown,KEFAUVER,Unknown,M,40198,40414,10031962.txt,7626,494,87097321,KEFAUVER,CAREY,S,TN,M,D,,voting,"I again assure the distinguished Senator from Georgia that I fully agree with him that this is one of the bad abuses. This is a House bill. and we hope to make only amendments which will be accepted by the House without the necessity of a conference. We have been informed that if new subject matter makes it necessary to have a conference. the whole bill may be defeated. The principal object of H.R. 8140 is to improve the current conflict of interest laws. most of which were first enacted in the 19th century. As now written. they are confusing. inadequate in certain respects. too sweeping in other respects and. in general. fail to meet the needs of presentday Government. The shortcomings of these statutes have been pointed out in recent years by various committees of the Congress. by the executive branch and by organizations of the bar. Each of these groups has found the underlying principles of the statutes to be sound but has at the same time noted the need for their revision in the interests of clarification and modernization. This bill embodies the most important of the recommended changes in present law which were submitted by the President with his special message of April 27. 1961. on conflicts of interest and standards of conduct in the Government. In addition to the support of the administration. the bill has the support of the American Bar Association and the Association of the Bar of the City of New York. The New York City Association made an invaluable report in 1960 on the subject of the Federal conflict of interest laws and many of its recommendations have been written into the bill. Every witness who appeared at the hearings held by the Senate and House Judiciary Committees favored the enactment of the bill. As far as I know. no opposition to it has been voiced from any quarter. Although the Judiciary Committee made a number of amendments. I have no doubt they are acceptable to the House of Representatives. The bill has three main purposes in connection with the conflict statutes: First. it strengthens certain of them by increasing the range of the Government matters in which activities giving rise to conflicts of interest are prohibited. As as result of judicial construction these statutes are presently regarded as prohibiting activities in connection with ""claims against the Government"" for money or property only. The bill would extend their scope to include the vast range of administrative proceedings and other similar matters which comprise a great part of the work of the Government departments and agencies today. The bill also strengthens present law by imposing a permanent bar. rather than the present 2year bar. against a former Government employees representing a private party in connection with a specific matter in which the former employee had participated personally while working for the Government. The second main purpose of H.R. 8140 is to clarify and simplify the existing statutes. It should be noted. however. that in certain respects it makes no significant changes. Thus. the two provisions applying to Members of Congress do not make any changes of susbtance in the corresponding provisions of the present law. One. in section 203 of the bill. prohibits the receipt of compensation by Members of Congress for representing others before the agencies of the Government. The other. section 204. prohibits Members of Congress from practicing in the Court of Claims. Similarly. the bill leaves untouched the two present sections of the conflicts statutes which pertain specifically to retired officers of the Armed Forces. The third main purpose of H.R. 8140 is to facilitate the Governments recruiting of skilled persons from private fields to serve it on an intermittent or temporary basis. At the same time. the bill affords the Government adequate protection against conflicts of interest on the part of such persons. This dual purpose is achieved by creating in section 202 a category of Government employees designated ""special Government employees"" who are not subject to the full extent of the prohibitions applicable to the ordinary Government employee. This category is composed of employees. whether compensated or not. who serve not more than 130 days during any period of 365 consecutive days either on a fulltime or intermittent basis. Passing now to a summary of the provisions of H.R. 8140. I believe it will be helpful to describe first their impact on the regular Government employee. He would be subject to four major conflictof -interest restrictions under the bill. He would in general be prohibited from representing any other person in relation to any transaction involving the Government. The regular employee also would be prohibited from participating in a transaction involving the Government in the consequences of which he. his spouse. minor child or business associates have a significant financial interest. Private sources would be prohibited from paying or supplementing his salary for his Government services. Finally. after leaving the Government service. he would be prohibited from representing another person in relation to any transaction involving the Government in which he participated personally and substantially as a Government employee. He would also in general be barred for 1 year following his Government employment from representing anyone in a matter in an area where he had had official responsibility at any time during his last year in the Government. The special Government employee would be prohibited from representing other persons only. first. in matters involving the Government in which he has participated personally and substantially and. second. if he serves an agency more than 60 days a year. in matters pending before that agency. As to participation in transactions involving the Government in the consequences of which he. his spouse. minor child or business associates have a financial interest. the special Government employee would be subject to the same restrictions as a regular employee. Similarly. the postemployment prohibitions applicable to a regular Government employee would apply equally to the special Government employee. However. the latter would not be subject to the restrictions against outside compensation applicable to the regular employee. A secondary purpose of H.R. 8140 is to consolidate into a single section--section 201of Governmentwide applicability the gist of the various existing bribery statutes which apply separately to particular categories of Government officials and to Jurors and witnesses (18 U.S.C. 201213). This consolidation makes no significant changes of substance and would not narrow the broad sweep of the current bribery laws. Finally. the bill would add to ""any other remedies provided by law"" an authorization for the Government to void any contract or other transaction In relation to which there has been a final conviction under the bribery or conflictofinterest statutes. H.R. 8140 is the result of years of discussion and study. and its provisions are endorsed by the experts in the fields it covers. It is designed to promote the public interest by affording the Government the protection it requires and simultaneously making it possible for the Government to obtain services it requires. The need for the bill is undisputed. and I urge that it be passed by the Senate promptly in order to permit Its enactment this session. Mr. President. I ask unanimous consent to have printed at this point in the RECORD a summary of H.R. 8140 which was prepared by the Department of Justice. It is an excellent analysis of the bill\n'",assure distinguished agree bad abuse bill hope make only amendment accept necessity conference inform new subject matter make necessary conference whole bill defeat principal object improve current conflict interest law most enact 19th_century write confusing inadequate certain respect sweeping other respect general fail meet need shortcoming statute point recent year various committee executive_branch organization bar group find underlying principle statute sound same time note need revision interest clarification modernization bill embody important recommend change present law submit special message conflict interest standard conduct addition support administration bill support make invaluable report subject conflict interest law many recommendation write bill witness appear hearing hold favor enactment bill know opposition voice quarter make number amendment doubt acceptable bill main purpose connection conflict statute strengthen certain increase range government matter activity give rise conflict interest prohibit result judicial construction statute regard prohibit activity connection claim government money property bill extend scope include vast range administrative proceeding other similar matter comprise great part work department agency today bill strengthen present law impose permanent bar present bar former employee represent private party connection specific matter former employee participate work second main purpose clarify simplify exist statute note certain respect make significant change provision apply member make change susbtance correspond provision present law section bill prohibit receipt compensation member represent other agency other section prohibit practice bill leave untouche present section conflict statute pertain retire officer third main purpose facilitate government recruit skilled person private field serve intermittent temporary basis same time bill afford adequate protection conflict interest part such person dual purpose achieve create section category employee designate special employee subject full extent prohibition applicable ordinary employee category compose employee compensate serve more day period consecutive day fulltime intermittent basis pass summary provision believe helpful describe impact regular employee subject major conflictof_-inter restriction bill general prohibit represent other person relation transaction involve regular employee prohibit participate transaction involve consequence spouse minor child business associate significant financial interest private source prohibit pay supplement salary service leave service prohibit represent person relation transaction involve participate government employee general bar year follow employment represent matter area official responsibility time last year special employee prohibit represent other person matter involve participate serve agency more day year matter pende agency participation transaction involve consequence spouse minor child business associate financial interest special employee subject same restriction regular employee postemployment prohibition applicable regular employee apply special employee latter subject restriction outside compensation applicable regular employee secondary purpose consolidate single section section 201of applicability gist various exist bribery statute apply particular category official witness consolidation make significant change substance narrow broad sweep current bribery law bill add other remedy provide law authorization void contract other transaction relation final conviction bribery conflictofinter_statute result year discussion study provision endorse expert field cover design promote public interest afford protection require make possible obtain service require need bill undisputed urge pass order permit enactment session ask_unanimous consent print point record summary prepare excellent analysis bill\n,87.0,bound,0,1
